week,metric,arm_n,control_rate_pct,treatment_rate_pct,delta_pp,is_synthetic
1,notification_opt_out_rate_pct,601,3.494,2.829,-0.666,True
1,complaint_rate_pct,601,0.666,0.499,-0.166,True
1,refund_or_cancellation_rate_pct,601,4.16,4.825,0.666,True
1,delivery_failure_rate_pct,601,0.998,1.83,0.832,True
2,notification_opt_out_rate_pct,601,3.161,3.661,0.499,True
2,complaint_rate_pct,601,0.333,0.166,-0.166,True
2,refund_or_cancellation_rate_pct,601,4.825,3.494,-1.331,True
2,delivery_failure_rate_pct,601,1.498,0.998,-0.499,True
3,notification_opt_out_rate_pct,601,4.326,3.827,-0.499,True
3,complaint_rate_pct,601,0.666,0.166,-0.499,True
3,refund_or_cancellation_rate_pct,601,4.326,4.659,0.333,True
3,delivery_failure_rate_pct,601,1.498,1.997,0.499,True
4,notification_opt_out_rate_pct,601,2.662,2.829,0.166,True
4,complaint_rate_pct,601,0.333,0.166,-0.166,True
4,refund_or_cancellation_rate_pct,601,4.825,4.992,0.166,True
4,delivery_failure_rate_pct,601,1.165,1.664,0.499,True
5,notification_opt_out_rate_pct,601,3.328,2.662,-0.666,True
5,complaint_rate_pct,601,0.666,0.666,0.0,True
5,refund_or_cancellation_rate_pct,601,3.827,5.657,1.83,True
5,delivery_failure_rate_pct,601,0.832,0.333,-0.499,True
6,notification_opt_out_rate_pct,601,3.494,3.328,-0.166,True
6,complaint_rate_pct,601,0.499,0.666,0.166,True
6,refund_or_cancellation_rate_pct,601,5.324,5.491,0.166,True
6,delivery_failure_rate_pct,601,1.165,1.498,0.333,True
7,notification_opt_out_rate_pct,601,3.161,2.995,-0.166,True
7,complaint_rate_pct,601,0.333,0.166,-0.166,True
7,refund_or_cancellation_rate_pct,601,4.493,5.158,0.666,True
7,delivery_failure_rate_pct,601,1.664,0.832,-0.832,True
8,notification_opt_out_rate_pct,601,1.997,2.662,0.666,True
8,complaint_rate_pct,601,0.166,0.499,0.333,True
8,refund_or_cancellation_rate_pct,601,5.491,4.992,-0.499,True
8,delivery_failure_rate_pct,601,1.498,1.165,-0.333,True
9,notification_opt_out_rate_pct,601,2.329,2.995,0.666,True
9,complaint_rate_pct,601,0.166,0.499,0.333,True
9,refund_or_cancellation_rate_pct,601,4.326,5.324,0.998,True
9,delivery_failure_rate_pct,601,0.998,0.666,-0.333,True
